,,TNP-4-BSA,TNP-4-BSA,TNP-4-BSA,TNP-4-BSA,TNP-26-BSA,TNP-26-BSA,TNP-26-BSA,TNP-26-BSA
,Replicate,1,2,3,4,1,2,3,4
FcgRIA,TNP-BSA,113,5,7,8,38,6,8,10
FcgRIA,IgG1,441,427,784,172,318,552,900,248
FcgRIA,IgG2,440,578,997,176,404,392,894,124
FcgRIA,IgG3,442,407,905,185,322,515,957,242
FcgRIA,IgG4,388,428,618,139,530,431,810,172
FcgRIIA-Arg,TNP-BSA,14,8,9,9,18,9,12,12
FcgRIIA-Arg,IgG1,130,177,274,58,266,604,1016,281
FcgRIIA-Arg,IgG2,50,23,57,13,149,139,381,48
FcgRIIA-Arg,IgG3,184,193,408,87,523,621,1297,281
FcgRIIA-Arg,IgG4,44,21,29,17,265,151,343,72
FcgRIIA-His,TNP-BSA,38,4,4,5,53,5,5,10
FcgRIIA-His,IgG1,327,308,539,113,660,585,1298,377
FcgRIIA-His,IgG2,277,203,174,36,533,394,742,156
FcgRIIA-His,IgG3,307,334,305,135,421,674,1173,405
FcgRIIA-His,IgG4,148,54,6,20,630,517,1005,145
FcgRIIB,TNP-BSA,7,6,7,4,9,7,9,10
FcgRIIB,IgG1,80,200,262,30,139,737,1108,230
FcgRIIB,IgG2,17,27,40,8,63,111,260,32
FcgRIIB,IgG3,124,231,349,62,442,942,746,244
FcgRIIB,IgG4,33,44,100,21,183,331,605,68
FcgRIIIA-Phe,TNP-BSA,7,6,8,6,7,7,8,11
FcgRIIIA-Phe,IgG1,262,676,1015,269,709,1333,1935,698
FcgRIIIA-Phe,IgG2,14,31,31,14,23,26,68,19
FcgRIIIA-Phe,IgG3,328,528,790,267,788,1668,2628,891
FcgRIIIA-Phe,IgG4,9,8,16,10,17,21,46,20
FcgRIIIA-Val,TNP-BSA,49,8,14,7,49,8,9,8
FcgRIIIA-Val,IgG1,295,596,1016,334,488,813,1330,383
FcgRIIIA-Val,IgG2,105,186,293,65,177,362,573,114
FcgRIIIA-Val,IgG3,nan,623,1055,365,924,1317,1861,676
FcgRIIIA-Val,IgG4,122,136,262,91,313,558,1026,239
